 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
416 Result (1->win; 0->lose):0, Score:-2.0, timesteps:79
417 Result (1->win; 0->lose):0, Score:-2.0, timesteps:52
418 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
419 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
420 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
421 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
422 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
423 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
424 Result (1->win; 0->lose):0, Score:-2.0, timesteps:16
425 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
426 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
427 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
