 ** Playing game examples/gridphysics/zelda.txt, level examples/gridphysics/zelda_lvl0.txt **
379 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
380 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
381 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
382 Result (1->win; 0->lose):0, Score:3.0, timesteps:527
383 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
384 Result (1->win; 0->lose):0, Score:1.0, timesteps:451
385 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
386 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
387 Result (1->win; 0->lose):0, Score:1.0, timesteps:427
388 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
389 Result (1->win; 0->lose):0, Score:1.0, timesteps:575
390 Result (1->win; 0->lose):0, Score:1.0, timesteps:47
391 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
392 Result (1->win; 0->lose):0, Score:6.0, timesteps:1000
393 Result (1->win; 0->lose):0, Score:3.0, timesteps:339
394 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
395 Result (1->win; 0->lose):0, Score:1.0, timesteps:435
396 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
397 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
398 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
399 Result (1->win; 0->lose):0, Score:3.0, timesteps:867
400 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
401 Result (1->win; 0->lose):0, Score:-1.0, timesteps:311
402 Result (1->win; 0->lose):0, Score:1.0, timesteps:543
403 Result (1->win; 0->lose):0, Score:1.0, timesteps:699
404 Result (1->win; 0->lose):0, Score:1.0, timesteps:715
405 Result (1->win; 0->lose):0, Score:1.0, timesteps:679
406 Result (1->win; 0->lose):0, Score:1.0, timesteps:683
407 Result (1->win; 0->lose):0, Score:0.0, timesteps:1000
408 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
409 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
410 Result (1->win; 0->lose):0, Score:2.0, timesteps:1000
411 Result (1->win; 0->lose):0, Score:1.0, timesteps:595
412 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
413 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
414 Result (1->win; 0->lose):0, Score:1.0, timesteps:599
415 Result (1->win; 0->lose):0, Score:-1.0, timesteps:43
416 Result (1->win; 0->lose):0, Score:1.0, timesteps:159
417 Result (1->win; 0->lose):0, Score:1.0, timesteps:311
418 Result (1->win; 0->lose):0, Score:3.0, timesteps:847
419 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
420 Result (1->win; 0->lose):0, Score:1.0, timesteps:583
421 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
422 Result (1->win; 0->lose):0, Score:1.0, timesteps:171
423 Result (1->win; 0->lose):0, Score:-1.0, timesteps:91
424 Result (1->win; 0->lose):0, Score:1.0, timesteps:767
425 Result (1->win; 0->lose):0, Score:-1.0, timesteps:103
426 Result (1->win; 0->lose):0, Score:-1.0, timesteps:163
427 Result (1->win; 0->lose):0, Score:1.0, timesteps:787
428 Result (1->win; 0->lose):0, Score:-1.0, timesteps:343
429 Result (1->win; 0->lose):0, Score:-1.0, timesteps:47
430 Result (1->win; 0->lose):0, Score:-1.0, timesteps:99
431 Result (1->win; 0->lose):0, Score:4.0, timesteps:1000
432 Result (1->win; 0->lose):0, Score:-1.0, timesteps:71
