 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
363 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
364 Result (1->win; 0->lose):0, Score:-2.0, timesteps:268
365 Result (1->win; 0->lose):0, Score:-2.0, timesteps:84
366 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
367 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
368 Result (1->win; 0->lose):0, Score:-2.0, timesteps:70
369 Result (1->win; 0->lose):0, Score:-2.0, timesteps:81
370 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
371 Result (1->win; 0->lose):0, Score:-2.0, timesteps:71
372 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
373 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
374 Result (1->win; 0->lose):0, Score:-2.0, timesteps:63
375 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
376 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
377 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
378 Result (1->win; 0->lose):0, Score:-2.0, timesteps:59
379 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
380 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
381 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
382 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
383 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
384 Result (1->win; 0->lose):0, Score:-2.0, timesteps:66
385 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
386 Result (1->win; 0->lose):0, Score:-2.0, timesteps:80
387 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
388 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
389 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
390 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
391 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
392 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
393 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
394 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
395 Result (1->win; 0->lose):0, Score:-2.0, timesteps:58
396 Result (1->win; 0->lose):0, Score:-2.0, timesteps:109
397 Result (1->win; 0->lose):0, Score:-2.0, timesteps:23
398 Result (1->win; 0->lose):0, Score:-2.0, timesteps:77
399 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
400 Result (1->win; 0->lose):0, Score:-2.0, timesteps:79
401 Result (1->win; 0->lose):0, Score:-2.0, timesteps:50
402 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
403 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
404 Result (1->win; 0->lose):0, Score:-2.0, timesteps:420
405 Result (1->win; 0->lose):0, Score:-2.0, timesteps:149
406 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
407 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
408 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
409 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
410 Result (1->win; 0->lose):0, Score:-2.0, timesteps:198
411 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
412 Result (1->win; 0->lose):0, Score:-2.0, timesteps:97
413 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
414 Result (1->win; 0->lose):0, Score:-2.0, timesteps:149
415 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
416 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
417 Result (1->win; 0->lose):0, Score:-2.0, timesteps:95
418 Result (1->win; 0->lose):0, Score:-2.0, timesteps:66
419 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
420 Result (1->win; 0->lose):0, Score:-2.0, timesteps:190
421 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
422 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
423 Result (1->win; 0->lose):0, Score:-2.0, timesteps:91
424 Result (1->win; 0->lose):0, Score:-2.0, timesteps:44
425 Result (1->win; 0->lose):0, Score:-2.0, timesteps:47
426 Result (1->win; 0->lose):0, Score:-2.0, timesteps:46
427 Result (1->win; 0->lose):0, Score:-2.0, timesteps:87
