 ** Playing game examples/gridphysics/frogs.txt, level examples/gridphysics/frogs_lvl0.txt **
302 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
303 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
304 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
305 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
306 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
307 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
308 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
309 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
310 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
311 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
312 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
313 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
314 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
315 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
316 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
317 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
318 Result (1->win; 0->lose):0, Score:-2.0, timesteps:29
319 Result (1->win; 0->lose):0, Score:0.0, timesteps:16
320 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
321 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
322 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
323 Result (1->win; 0->lose):0, Score:-2.0, timesteps:57
324 Result (1->win; 0->lose):0, Score:-2.0, timesteps:58
325 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
326 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
327 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
328 Result (1->win; 0->lose):0, Score:-2.0, timesteps:97
329 Result (1->win; 0->lose):0, Score:-2.0, timesteps:47
330 Result (1->win; 0->lose):0, Score:0.0, timesteps:199
331 Result (1->win; 0->lose):0, Score:-2.0, timesteps:6
332 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
333 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
334 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
335 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
336 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
337 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
338 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
339 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
340 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
341 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
342 Result (1->win; 0->lose):0, Score:-2.0, timesteps:41
343 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
344 Result (1->win; 0->lose):0, Score:-2.0, timesteps:29
345 Result (1->win; 0->lose):0, Score:-2.0, timesteps:60
346 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
347 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
348 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
349 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
350 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
351 Result (1->win; 0->lose):0, Score:-2.0, timesteps:24
352 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
353 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
354 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
355 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
356 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
357 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
358 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
359 Result (1->win; 0->lose):0, Score:-2.0, timesteps:12
360 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
361 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
362 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
363 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
364 Result (1->win; 0->lose):0, Score:-2.0, timesteps:3
365 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
366 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
367 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
368 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
369 Result (1->win; 0->lose):0, Score:-2.0, timesteps:8
370 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
371 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
372 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
373 Result (1->win; 0->lose):0, Score:-2.0, timesteps:30
374 Result (1->win; 0->lose):0, Score:-2.0, timesteps:43
375 Result (1->win; 0->lose):0, Score:-2.0, timesteps:242
376 Result (1->win; 0->lose):0, Score:-2.0, timesteps:37
377 Result (1->win; 0->lose):0, Score:-2.0, timesteps:39
378 Result (1->win; 0->lose):0, Score:-2.0, timesteps:21
379 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
380 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
381 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
382 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
383 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
384 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
385 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
386 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
387 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
388 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
389 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
390 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
391 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
392 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
393 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
394 Result (1->win; 0->lose):0, Score:-2.0, timesteps:7
395 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
396 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
397 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
398 Result (1->win; 0->lose):0, Score:-2.0, timesteps:1
399 Result (1->win; 0->lose):0, Score:-2.0, timesteps:4
400 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
401 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
402 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
403 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
404 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
405 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
406 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
407 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
408 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
409 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
410 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
411 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
412 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
413 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
414 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
415 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
416 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
417 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
418 Result (1->win; 0->lose):0, Score:-2.0, timesteps:15
419 Result (1->win; 0->lose):0, Score:-2.0, timesteps:13
420 Result (1->win; 0->lose):0, Score:-2.0, timesteps:5
421 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
422 Result (1->win; 0->lose):0, Score:-2.0, timesteps:11
423 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
424 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
425 Result (1->win; 0->lose):0, Score:-2.0, timesteps:0
426 Result (1->win; 0->lose):0, Score:-2.0, timesteps:2
427 Result (1->win; 0->lose):0, Score:-2.0, timesteps:49
428 Result (1->win; 0->lose):0, Score:-2.0, timesteps:19
